ID|Titel|Inhalt|Autor|Kategorie|Sentiment|Wortanzahl|Datum|Uhrzeit|Quelle|Shares
134|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2006|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|558.0|2024-03-08|11:24|FinanceDaily|4800.0
135|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|336.0|2024-01-39|10:58|CryptoTimes|3700.0
136|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2005|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|691.0|2024-12-07|23:59|FinanceDaily|4500.0
137|Die nächsten Trends im Sportbereich 2005|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-04|00:00|SportExpress|1600.0
138|Die Rolle der künstlichen Intelligenz in der Gesundheit 2005|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|450.0|2024-01-40|09:46|HealthWeekly|3400.0
139|Die nächsten Schritte in der Energiewende 2005|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|528.0|2024-03-04|08:16|EnergyReview|1600.0
140|Politische Umbrüche 2006: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|648.0|2024-01-25|19:28|WorldPolitics|3300.0
141|Kryptowährungen 2006: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|767.0|2024-03-06|09:17|CryptoTimes|4900.0
142|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|848.0|2024-11-05|16:20|ScienceToday|1900.0
143|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|580.0|2024-01-40|21:08|HealthWeekly|3200.0
144|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|510.0|2024-03-06|15:26|TechNews|2700.0
145|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2004|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|559.0|2024-03-08|11:23|FinanceDaily|4800.0
146|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|337.0|2024-01-40|10:58|CryptoTimes|3700.0
147|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2003|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|692.0|2024-12-07|23:59|FinanceDaily|4500.0
148|Die nächsten Trends im Sportbereich 2003|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-05|00:00|SportExpress|1600.0
149|Die Rolle der künstlichen Intelligenz in der Gesundheit 2003|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|451.0|2024-01-41|09:46|HealthWeekly|3400.0
150|Die nächsten Schritte in der Energiewende 2003|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|529.0|2024-03-05|08:16|EnergyReview|1600.0
151|Politische Umbrüche 2004: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|649.0|2024-01-25|19:28|WorldPolitics|3300.0
152|Kryptowährungen 2004: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|768.0|2024-03-07|09:17|CryptoTimes|4900.0
153|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|849.0|2024-11-05|16:21|ScienceToday|1900.0
154|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|581.0|2024-01-41|21:08|HealthWeekly|3200.0
155|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|511.0|2024-03-07|15:26|TechNews|2700.0
156|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2002|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|560.0|2024-03-08|11:22|FinanceDaily|4800.0
157|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|338.0|2024-01-41|10:58|CryptoTimes|3700.0
158|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2001|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|693.0|2024-12-07|23:59|FinanceDaily|4500.0
159|Die nächsten Trends im Sportbereich 2001|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-06|00:00|SportExpress|1600.0
160|Die Rolle der künstlichen Intelligenz in der Gesundheit 2001|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|452.0|2024-01-42|09:46|HealthWeekly|3400.0
161|Die nächsten Schritte in der Energiewende 2001|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|530.0|2024-03-06|08:16|EnergyReview|1600.0
162|Politische Umbrüche 2002: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|650.0|2024-01-25|19:28|WorldPolitics|3300.0
163|Kryptowährungen 2002: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|769.0|2024-03-08|09:17|CryptoTimes|4900.0
164|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|850.0|2024-11-05|16:22|ScienceToday|1900.0
165|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|582.0|2024-01-42|21:08|HealthWeekly|3200.0
166|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|512.0|2024-03-08|15:26|TechNews|2700.0
167|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2000|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|561.0|2024-03-08|11:21|FinanceDaily|4800.0
168|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|339.0|2024-01-42|10:58|CryptoTimes|3700.0
169|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1999|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|694.0|2024-12-07|23:59|FinanceDaily|4500.0
170|Die nächsten Trends im Sportbereich 1999|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-07|00:00|SportExpress|1600.0
171|Die Rolle der künstlichen Intelligenz in der Gesundheit 1999|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|453.0|2024-01-43|09:46|HealthWeekly|3400.0
172|Die nächsten Schritte in der Energiewende 1999|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|531.0|2024-03-07|08:16|EnergyReview|1600.0
173|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|651.0|2024-01-25|19:28|WorldPolitics|3300.0
174|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|770.0|2024-03-08|09:17|CryptoTimes|4900.0
175|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|851.0|2024-11-05|16:23|ScienceToday|1900.0
176|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|583.0|2024-01-43|21:08|HealthWeekly|3200.0
177|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|513.0|2024-03-08|15:26|TechNews|2700.0
178|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1998|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|562.0|2024-03-08|11:20|FinanceDaily|4800.0
179|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|340.0|2024-01-43|10:58|CryptoTimes|3700.0
180|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1997|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|695.0|2024-12-07|23:59|FinanceDaily|4500.0
181|Die nächsten Trends im Sportbereich 1997|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-06|00:00|SportExpress|1600.0
182|Die Rolle der künstlichen Intelligenz in der Gesundheit 1997|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|454.0|2024-01-44|09:46|HealthWeekly|3400.0
183|Die nächsten Schritte in der Energiewende 1997|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|532.0|2024-03-06|08:16|EnergyReview|1600.0
184|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|652.0|2024-01-24|19:28|WorldPolitics|3300.0
185|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|771.0|2024-03-07|09:17|CryptoTimes|4900.0
186|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|852.0|2024-11-06|16:24|ScienceToday|1900.0
187|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|584.0|2024-01-44|21:08|HealthWeekly|3200.0
188|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|514.0|2024-03-07|15:26|TechNews|2700.0
189|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1996|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|563.0|2024-03-07|11:18|FinanceDaily|4800.0
190|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|341.0|2024-01-44|10:58|CryptoTimes|3700.0
191|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1995|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|696.0|2024-12-07|23:59|FinanceDaily|4500.0
192|Die nächsten Trends im Sportbereich 1995|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-05|00:00|SportExpress|1600.0
193|Die Rolle der künstlichen Intelligenz in der Gesundheit 1995|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|455.0|2024-01-45|09:46|HealthWeekly|3400.0
194|Die nächsten Schritte in der Energiewende 1995|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|533.0|2024-03-05|08:16|EnergyReview|1600.0
195|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|653.0|2024-01-23|19:28|WorldPolitics|3300.0
196|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|772.0|2024-03-05|09:17|CryptoTimes|4900.0
197|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|853.0|2024-11-06|16:25|ScienceToday|1900.0
198|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|585.0|2024-01-45|21:08|HealthWeekly|3200.0
199|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|515.0|2024-03-06|15:26|TechNews|2700.0
200|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1994|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|564.0|2024-03-06|11:17|FinanceDaily|4800.0
201|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|342.0|2024-01-45|10:58|CryptoTimes|3700.0
202|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1993|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|697.0|2024-12-07|23:59|FinanceDaily|4500.0
203|Die nächsten Trends im Sportbereich 1993|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-04|00:00|SportExpress|1600.0
204|Die Rolle der künstlichen Intelligenz in der Gesundheit 1993|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|456.0|2024-01-46|09:46|HealthWeekly|3400.0
205|Die nächsten Schritte in der Energiewende 1993|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|534.0|2024-03-04|08:16|EnergyReview|1600.0
206|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|654.0|2024-01-22|19:28|WorldPolitics|3300.0
207|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|773.0|2024-03-04|09:17|CryptoTimes|4900.0
208|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|854.0|2024-11-06|16:26|ScienceToday|1900.0
209|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|586.0|2024-01-46|21:08|HealthWeekly|3200.0
210|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|516.0|2024-03-07|15:26|TechNews|2700.0
211|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1992|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|565.0|2024-03-07|11:16|FinanceDaily|4800.0
212|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|343.0|2024-01-46|10:58|CryptoTimes|3700.0
213|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1991|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|698.0|2024-12-07|23:59|FinanceDaily|4500.0
214|Die nächsten Trends im Sportbereich 1991|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-03|00:00|SportExpress|1600.0
215|Die Rolle der künstlichen Intelligenz in der Gesundheit 1991|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|457.0|2024-01-47|09:46|HealthWeekly|3400.0
216|Die nächsten Schritte in der Energiewende 1991|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|535.0|2024-03-03|08:16|EnergyReview|1600.0
217|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|655.0|2024-01-21|19:28|WorldPolitics|3300.0
218|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|774.0|2024-03-03|09:17|CryptoTimes|4900.0
219|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|855.0|2024-11-06|16:27|ScienceToday|1900.0
220|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|587.0|2024-01-47|21:08|HealthWeekly|3200.0
221|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|517.0|2024-03-08|15:26|TechNews|2700.0
222|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1990|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|566.0|2024-03-08|11:15|FinanceDaily|4800.0
223|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|344.0|2024-01-47|10:58|CryptoTimes|3700.0
224|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1989|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
225|Die nächsten Trends im Sportbereich 1989|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-01|00:00|SportExpress|1600.0
226|Die Rolle der künstlichen Intelligenz in der Gesundheit 1989|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|458.0|2024-01-48|09:46|HealthWeekly|3400.0
227|Die nächsten Schritte in der Energiewende 1989|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|536.0|2024-03-01|08:16|EnergyReview|1600.0
228|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|656.0|2024-01-22|19:28|WorldPolitics|3300.0
229|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|775.0|2024-03-01|09:17|CryptoTimes|4900.0
230|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|856.0|2024-11-06|16:28|ScienceToday|1900.0
